Average Price,Region
197000.00,North East (England) 
248173.00,North West (England)
237000.00,Yorkshire and The Humber
271212.00,East Midlands (England)
277231.00,West Midlands (England)
398164.00,East
613646.00,London
452007.00,South East (England)
346502.00,South West (England)
241318.00,Wales
0.00,Scotland
0.00,Northern Ireland
